"filename", "language", "JavaScript", "CSS", "JavaScript JSX", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\about\page.jsx", "JavaScript JSX", 0, 0, 118, 0, 0, 1, 2, 121
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -125, -1, -2, -128
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\account\components\LogoutButton.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 0, 2, 17
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\account\components\NameEdit.jsx", "JavaScript JSX", 0, 0, 126, 0, 0, 19, 7, 152
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\account\components\PasswordChange.jsx", "JavaScript JSX", 0, 0, 108, 0, 0, 0, 7, 115
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\account\components\UserDetails.jsx", "JavaScript JSX", 0, 0, 47, 0, 0, 8, 8, 63
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\account\components\UserDetails.tsx", "TypeScript JSX", 0, 0, 0, 0, -364, -26, -24, -414
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\account\page.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 3, 4, 17
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\account\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -12, -1, -3, -16
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\api\auth\[...nextauth]\authOptions.js", "JavaScript", 71, 0, 0, 0, 0, 14, 7, 92
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\api\auth\[...nextauth]\authOptions.ts", "TypeScript", 0, 0, 0, -74, 0, -14, -7, -95
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\api\auth\[...nextauth]\route.js", "JavaScript", 4, 0, 0, 0, 0, 1, 2, 7
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\api\auth\[...nextauth]\route.ts", "TypeScript", 0, 0, 0, -4, 0, -1, -2, -7
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\api\email\route.js", "JavaScript", 36, 0, 0, 0, 0, 45, 11, 92
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\api\email\route.ts", "TypeScript", 0, 0, 0, -36, 0, -6, -5, -47
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\api\recover_password\route.js", "JavaScript", 21, 0, 0, 0, 0, 8, 6, 35
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\api\user\[email]\route.ts", "TypeScript", 0, 0, 0, -14, 0, -5, -5, -24
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\api\user\forgot_password\route.js", "JavaScript", 35, 0, 0, 0, 0, 8, 9, 52
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\api\user\route.js", "JavaScript", 12, 0, 0, 0, 0, 2, 3, 17
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\api\user\route.ts", "TypeScript", 0, 0, 0, -12, 0, -2, -3, -17
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\api\user\update_name\route.js", "JavaScript", 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\api\user\update_name\route.ts", "TypeScript", 0, 0, 0, -7, 0, -2, -4, -13
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\api\user\update_password\route.js", "JavaScript", 18, 0, 0, 0, 0, 1, 12, 31
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\api\user\update_password\route.ts", "TypeScript", 0, 0, 0, -18, 0, -1, -12, -31
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\api\user\update_role\route.js", "JavaScript", 10, 0, 0, 0, 0, 1, 6, 17
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\api\user\update_role\route.ts", "TypeScript", 0, 0, 0, -11, 0, -1, -6, -18
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\api\user\verify_email\route.js", "JavaScript", 11, 0, 0, 0, 0, 5, 6, 22
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\api\user\verify_email\route.ts", "TypeScript", 0, 0, 0, -11, 0, -5, -6, -22
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\components\Navbar.jsx", "JavaScript JSX", 0, 0, 113, 0, 0, 17, 6, 136
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\components\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, -74, -6, -3, -83
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\components\Notification.jsx", "JavaScript JSX", 0, 0, 49, 0, 0, 8, 9, 66
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\components\Notification.tsx", "TypeScript JSX", 0, 0, 0, 0, -71, 0, -9, -80
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\components\Title.tsx", "TypeScript JSX", 0, 0, 0, 0, -4, 0, -2, -6
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\dashboard\components\ListboxComponent.jsx", "JavaScript JSX", 0, 0, 42, 0, 0, 4, 3, 49
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\dashboard\components\ListboxComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, -39, -1, -2, -42
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\dashboard\components\UserRow.jsx", "JavaScript JSX", 0, 0, 26, 0, 0, 0, 2, 28
"c:\Users\User\Documents\dev\upwork\wekthor-games-webpage\src\app\dashboard\components\UserRow.tsx", "TypeScript JSX", 0, 0, 0, 0, -31, 0, -2, -33
